ubuntu@ip-10-0-29-234:~$ sudo tcpdump -nn -i any 'udp and portrange 10000-10004'
tcpdump: data link type LINUX_SLL2
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on any, link-type LINUX_SLL2 (Linux cooked v2), snapshot length 262144 bytes
08:27:34.200889 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:34.221380 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:34.240873 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:34.261913 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:34.280874 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:34.302421 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:34.324424 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:34.341876 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:34.360460 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:34.380907 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:34.401465 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:34.420889 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:34.440359 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:34.460888 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:34.482410 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:34.510921 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:34.520375 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:34.542028 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:34.561896 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:34.580921 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:34.600380 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:34.621913 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:34.640920 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:34.663403 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:34.680899 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:34.701946 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:34.720442 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:34.740897 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:34.760902 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:34.780963 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:34.803385 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:34.821912 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:34.842465 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:34.860408 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:34.882534 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:34.902401 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:34.922585 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:34.940897 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:34.960447 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:34.982420 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.000966 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.022400 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.041433 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.060407 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.080896 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.100411 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.120906 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.140911 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.160893 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.182916 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.200937 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.221983 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.242144 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.260383 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.281960 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.302949 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.321916 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.340418 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.361442 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.380908 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.401946 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.424396 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.440561 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.461393 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.482916 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.501408 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.520470 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.541437 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.560407 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.581919 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.602443 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.623707 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.641907 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.660427 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.680412 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.702428 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.721908 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.740428 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.762050 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.781927 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.800420 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.821921 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.841425 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.860433 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.901964 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.920950 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.940982 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.961926 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:35.985952 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:36.000933 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:36.021917 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:36.041189 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:36.060704 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:36.081181 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:36.100682 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:36.121687 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:36.142183 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:36.160675 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:36.181195 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:36.201178 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:36.221684 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:36.240934 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:36.261011 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:36.341528 ens5  Out IP 10.0.29.234.10000 > 5.163.160.57.14918: UDP, length 172
08:27:36.361833 ens5  Out IP 10.0.29.234.10000 > 5.163.160.57.14918: UDP, length 172
08:27:36.380923 ens5  Out IP 10.0.29.234.10000 > 5.163.160.57.14918: UDP, length 172
08:27:36.401944 ens5  Out IP 10.0.29.234.10000 > 5.163.160.57.14918: UDP, length 172
08:27:36.421039 ens5  Out IP 10.0.29.234.10000 > 5.163.160.57.14918: UDP, length 172
08:27:36.441324 ens5  Out IP 10.0.29.234.10000 > 5.163.160.57.14918: UDP, length 172
08:27:36.461459 ens5  Out IP 10.0.29.234.10000 > 5.163.160.57.14918: UDP, length 172
08:27:36.480918 ens5  Out IP 10.0.29.234.10000 > 5.163.160.57.14918: UDP, length 172
08:27:36.501429 ens5  Out IP 10.0.29.234.10000 > 5.163.160.57.14918: UDP, length 172
08:27:36.521103 ens5  Out IP 10.0.29.234.10000 > 5.163.160.57.14918: UDP, length 172
08:27:36.541897 ens5  Out IP 10.0.29.234.10000 > 5.163.160.57.14918: UDP, length 172
08:27:36.561260 ens5  Out IP 10.0.29.234.10000 > 5.163.160.57.14918: UDP, length 172
08:27:36.581570 ens5  Out IP 10.0.29.234.10000 > 5.163.160.57.14918: UDP, length 172
08:27:36.601898 ens5  Out IP 10.0.29.234.10000 > 5.163.160.57.14918: UDP, length 172
08:27:36.621466 ens5  Out IP 10.0.29.234.10000 > 5.163.160.57.14918: UDP, length 172
08:27:36.641790 ens5  Out IP 10.0.29.234.10000 > 5.163.160.57.14918: UDP, length 172
08:27:36.661128 ens5  Out IP 10.0.29.234.10000 > 5.163.160.57.14918: UDP, length 172
08:27:36.668434 ens5  In  IP 5.163.160.57.1105 > 10.0.29.234.10001: UDP, length 64
08:27:36.681447 ens5  Out IP 10.0.29.234.10000 > 5.163.160.57.14918: UDP, length 172
08:27:36.701793 ens5  Out IP 10.0.29.234.10000 > 5.163.160.57.14918: UDP, length 172
08:27:36.721174 ens5  Out IP 10.0.29.234.10000 > 5.163.160.57.14918: UDP, length 172
08:27:36.741543 ens5  Out IP 10.0.29.234.10000 > 5.163.160.57.14918: UDP, length 172
08:27:36.761814 ens5  Out IP 10.0.29.234.10000 > 5.163.160.57.14918: UDP, length 172
08:27:36.781203 ens5  Out IP 10.0.29.234.10000 > 5.163.160.57.14918: UDP, length 172
08:27:36.801501 ens5  Out IP 10.0.29.234.10000 > 5.163.160.57.14918: UDP, length 172
08:27:36.821852 ens5  Out IP 10.0.29.234.10000 > 5.163.160.57.14918: UDP, length 172
08:27:36.841357 ens5  Out IP 10.0.29.234.10000 > 5.163.160.57.14918: UDP, length 172
08:27:36.860930 ens5  Out IP 10.0.29.234.10000 > 5.163.160.57.14918: UDP, length 172
08:27:36.881741 ens5  Out IP 10.0.29.234.10000 > 5.163.160.57.14918: UDP, length 172
08:27:36.900932 ens5  Out IP 10.0.29.234.10000 > 5.163.160.57.14918: UDP, length 172
08:27:36.921309 ens5  Out IP 10.0.29.234.10000 > 5.163.160.57.14918: UDP, length 172
08:27:36.941041 ens5  Out IP 10.0.29.234.10000 > 5.163.160.57.14918: UDP, length 172
08:27:36.961894 ens5  Out IP 10.0.29.234.10000 > 5.163.160.57.14918: UDP, length 172
08:27:36.981199 ens5  Out IP 10.0.29.234.10000 > 5.163.160.57.14918: UDP, length 172
08:27:37.001570 ens5  Out IP 10.0.29.234.10000 > 5.163.160.57.14918: UDP, length 172
08:27:37.021877 ens5  Out IP 10.0.29.234.10000 > 5.163.160.57.14918: UDP, length 172
08:27:37.041210 ens5  Out IP 10.0.29.234.10000 > 5.163.160.57.14918: UDP, length 172
08:27:37.061553 ens5  Out IP 10.0.29.234.10000 > 5.163.160.57.14918: UDP, length 172
08:27:37.080970 ens5  Out IP 10.0.29.234.10000 > 5.163.160.57.14918: UDP, length 172
08:27:37.101323 ens5  Out IP 10.0.29.234.10000 > 5.163.160.57.14918: UDP, length 172
08:27:37.121662 ens5  Out IP 10.0.29.234.10000 > 5.163.160.57.14918: UDP, length 172
08:27:37.128205 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:37.141909 ens5  Out IP 10.0.29.234.10000 > 5.163.160.57.14918: UDP, length 172
